NodeID,Longitude,Latitude
1,-74.10866538350184,4.56274021529789
2,-74.109414520894,4.712878199802097
3,-74.16925148391108,4.652893579485761
4,-74.14490241648065,4.595419559411793
5,-74.20333488700297,4.606462413697474
6,-74.152691849777,4.615466141000486
7,-74.026806263892,4.691895387495879
8,-74.05059317727623,4.769573057856086
9,-74.13383822588648,4.667681879547097
10,-74.11305640664509,4.758256899829825
11,-74.02649028815969,4.769644337155578
12,-74.08585909589314,4.683713540810795
13,-74.15048562797897,4.636400995575184
14,-74.09677441479197,4.639380733649404
15,-74.11185862343352,4.5411166202800874
16,-74.09546032917088,4.54791388481913
17,-74.03234126918166,4.726295008916089
18,-74.09446927368035,4.6824552494609595
19,-74.09821411569835,4.631372427433999
20,-74.05680111246004,4.7470316938117145
21,-74.06678934357306,4.706783741802363
22,-74.10859941925872,4.7185308374517945
23,-74.0291745097166,4.698272246540427
24,-74.10232172844711,4.752745213232959
